Date	C2 Discharge	C3 Discharge
1/1/2011	0	0
1/2/2011	0	0
1/3/2011	0	0
1/4/2011	0	0
1/5/2011	0	0
1/6/2011	0	0
1/7/2011	0	0
1/8/2011	0	0
1/9/2011	0	0
1/10/2011	0	0
1/11/2011	0	0
1/12/2011	0	0
1/13/2011	0	0
1/14/2011	0	0
1/15/2011	0	0
1/16/2011	0	0
1/17/2011	0	0
1/18/2011	0	0
1/19/2011	0	0
1/20/2011	0	0
1/21/2011	0	0
1/22/2011	0	0
1/23/2011	0	0
1/24/2011	0	0
1/25/2011	0	0
1/26/2011	0	0
1/27/2011	0	0
1/28/2011	0	0
1/29/2011	0	0
1/30/2011	0	0
1/31/2011	0	0
2/1/2011	0	0
2/2/2011	0	0
2/3/2011	0	0
2/4/2011	0	0
2/5/2011	0	0
2/6/2011	0	0
2/7/2011	0	0
2/8/2011	0	0
2/9/2011	0	0
2/10/2011	0	0
2/11/2011	0	0
2/12/2011	0	0
2/13/2011	0	0
2/14/2011	0	0
2/15/2011	0	0
2/16/2011	0	0
2/17/2011	0	0
2/18/2011	0	0
2/19/2011	0	0
2/20/2011	0	0
2/21/2011	0	0
2/22/2011	0	0
2/23/2011	0	0
2/24/2011	0	0
2/25/2011	0	0
2/26/2011	0	0
2/27/2011	0	0
2/28/2011	0	0
3/1/2011	0	0
3/2/2011	0	0
3/3/2011	0	0
3/4/2011	0	0
3/5/2011	0	0
3/6/2011	0	0
3/7/2011	0	0
3/8/2011	0	0
3/9/2011	0	0
3/10/2011	0	0
3/11/2011	0	0
3/12/2011	0	0
3/13/2011	0	0
3/14/2011	0	0
3/15/2011	0	0
3/16/2011	0	0
3/17/2011	0	0
3/18/2011	0	0
3/19/2011	0	0
3/20/2011	0	0
3/21/2011	0	0
3/22/2011	0	0
3/23/2011	0	0
3/24/2011	0	0
3/25/2011	0	0
3/26/2011	0	0
3/27/2011	0	0
3/28/2011	0	0
3/29/2011	0	0
3/30/2011	0	0
3/31/2011	0	0
4/1/2011	0.223228325	0.072690395
4/2/2011	0.223228325	0.072690395
4/3/2011	0.223228325	0.072690395
4/4/2011	0.223228325	0.072690395
4/5/2011	0.223228325	0.072690395
4/6/2011	0.22595435	0.07902611
4/7/2011	0.22595435	0.07902611
4/8/2011	0.22595435	0.07902611
4/9/2011	0.2314064	0.09169754
4/10/2011	0.2314064	0.09169754
4/11/2011	0.2314064	0.09169754
4/12/2011	0.23685845	0.10436897
4/13/2011	0.23685845	0.10436897
4/14/2011	0.2423105	0.1170404
4/15/2011	0.2423105	0.1170404
4/16/2011	0.24776255	0.12971183
4/17/2011	0.2532146	0.14238326
4/18/2011	0.2641187	0.16772612
4/19/2011	0.26957075	0.18039755
4/20/2011	0.28047485	0.20574041
4/21/2011	0.29137895	0.23108327
4/22/2011	0.30228305	0.25642613
4/23/2011	0.31318715	0.28176899
4/24/2011	0.3295433	0.31978328
4/25/2011	0.3513515	0.370469
4/26/2011	0.43313225	0.56054045
4/27/2011	0.5694335	0.8773262
4/28/2011	0.951077	1.7643263
4/29/2011	1.714364	3.5383265
4/30/2011	2.0960075	4.4253266
5/1/2011	1.932446	4.0451837
5/2/2011	1.496282	3.0314693
5/3/2011	1.64348735	3.37359791
5/4/2011	1.56715865	3.19619789
5/5/2011	1.37088485	2.74002641
5/6/2011	1.2563918	2.47392638
5/7/2011	1.29455615	2.56262639
5/8/2011	1.03285775	1.95439775
5/9/2011	0.9619811	1.78966916
5/10/2011	0.9292688	1.71364058
5/11/2011	0.951077	1.7643263
5/12/2011	0.81477575	1.44754055
5/13/2011	0.79296755	1.39685483
5/14/2011	0.7984196	1.40952626
5/15/2011	1.00014545	1.87836917
5/16/2011	1.25093975	2.46125495
5/17/2011	1.4417615	2.904755
5/18/2011	1.5726107	3.20886932
5/19/2011	1.57806275	3.22154075
5/20/2011	1.79614475	3.72839795
5/21/2011	1.6816517	3.46229792
5/22/2011	1.76343245	3.65236937
5/23/2011	1.6380353	3.36092648
5/24/2011	1.4199533	2.85406928
5/25/2011	1.33817255	2.66399783
5/26/2011	1.17461105	2.28385493
5/27/2011	1.0165016	1.91638346
5/28/2011	0.90200855	1.65028343
5/29/2011	0.81477575	1.44754055
5/30/2011	0.8529401	1.53624056
5/31/2011	0.4678425255	0.5136037025
6/1/2011	0.491457666	0.6180301575
6/2/2011	0.43112552	0.4941239485
6/3/2011	0.483589484	0.532295932
6/4/2011	0.3802189475	0.377934067
6/5/2011	0.3298936599	0.2606981552
6/6/2011	0.32351118	0.1956193201
6/7/2011	0.4293986165	0.2274067047
6/8/2011	0.381041787	0.1187872998
