date	MIN_Tempperature				MAX_Temperature			
	HELMERS	CRREL	CARSNOW	CPEAK	HELMERS	CRREL	CARSNOW	CPEAK
01/01/11	-13.66	-22.98	-19.08	-14.45	2.49	-4.22	-4.89	1.42
01/02/11	1.61	-12.46	-7.15	-0.11	3.21	-1.65	-3.38	1.76
01/03/11	-0.68	-13.05	-9.91	-2.52	1.74	-6.65	-4.73	0.49
01/04/11	-1.96	-9.62	-8.36	-3.12	0.73	-2.14	-2.34	-0.51
01/05/11	-10.57	-24.15	-17.9	-9.58	-2.3	-7.48	-4.06	-2.37
01/06/11	-13.87	-24.84	-18	-15.45	-9.62	-9.62	-10.14	-10.18
01/07/11	-14.14	-14.05	-13.04	-15.38	-12.79	-12.31	-12.03	-14.18
01/08/11	-15.83	-20.64	-17.66	-16.12	-8.41	-11.54	-11.93	-8.98
01/09/11	-11.24	-18.38	-14.83	-9.38	-5.25	-10.28	-9.37	-4.31
01/10/11	-9.29	-23.6	-17.83	-6.18	-3.96	-10.91	-10.48	-3.71
01/11/11	-11.11	-23.97	-17.39	-13.19	-4.1	-11.57	-10.61	-5.65
01/12/11	-15.48	-27.86	-23.67	-15.85	-10.57	-21.06	-17.02	-12.38
01/13/11	-18.79	-29.49	-25.16	-20.79	-12.17	-14.98	-16.71	-13.51
01/14/11	-20.14	-30.32	-23.37	-21.86	-18.11	-17.62	-18.57	-19.79
01/15/11	-20.01	-32.64	-27.36	-21.53	-16.36	-26.17	-23.03	-17.99
01/16/11	-23.66	-34.3	-29.25	-20.06	-13.93	-13.84	-16.43	-15.25
01/17/11	-25.48	-37.9	-32.44	-25.67	-23.59	-26.22	-25.9	-21.66
01/18/11	-28.39	-39.54	-35.49	-27.34	-23.52	-25.69	-25.16	-23.53
01/19/11	-23.38	-41.9	-35.28	-22.46	-14.87	-37.25	-31.55	-14.98
01/20/11	-24.8	-43.82	-37.45	-24.06	-21.69	-39.74	-34.94	-21.06
01/21/11	-23.59	-43.66	-37.66	-23.2	-20.47	-33.75	-30.27	-20.59
01/22/11	-33.07	-40.86	-37.25	-32.9	-20.41	-26.38	-26.24	-20.32
01/23/11	-32.87	-42.81	-38.91	-32.9	-17.03	-15.82	-17.59	-18.19
01/24/11	-17.11	-27.13	-23.27	-17.12	-8	-14.69	-16.07	-6.04
01/25/11	-8.88	-28.77	-24.62	-5.97	-1.95	-19.83	-18.84	-2.84
01/26/11	-16.71	-25.44	-22.49	-16.26	-5.38	-16.8	-17.56	-4.78
01/27/11	-17.65	-25.34	-20.97	-18.52	-11.77	-13.27	-13.85	-10.71
01/28/11	-9.68	-25.27	-21.1	-9.84	-3.57	-17.59	-13.24	-4.91
01/29/11	-5.65	-21.67	-15.81	-5.38	-3.35	-14.12	-13.38	-3.19
01/30/11	-8.14	-25.61	-18.77	-7.24	-3.22	-15.9	-13.81	-2.32
01/31/11	-8.41	-27.4	-20.19	-7.98	-2.02	-13.23	-10.07	-3.44
02/01/11	-9.5	-16.83	-13.04	-8.05	-1.28	-8.6	-7.18	-2.79
02/02/11	-13.54	-17.95	-14.59	-13.12	-9.01	-12.28	-12.06	-8.18
02/03/11	-11.17	-12	-11.76	-11.65	-5.45	-8.75	-8.97	-6.71
02/04/11	-14.68	-27.46	-21.44	-12.99	-9.62	-11.47	-10.35	-10.39
02/05/11	-13.8	-29.92	-23.3	-12.51	-7.79	-20.53	-19.24	-7.4
02/06/11	-14.14	-29.02	-22.32	-10.71	-7.05	-21.78	-19.38	-3.6
02/07/11	-13.66	-30.86	-24.41	-11.77	-8.47	-21.67	-19.28	-8.51
02/08/11	-8.47	-24.67	-20.08	-8.51	-1.62	-7.24	-6.75	-3.19
02/09/11	-10.44	-13.26	-9	-11.65	-2.29	-5.37	-5.5	-3.31
